,id,title,release_date,year,runtime,genres,rated,countries,actors,directors,writers,awards,box_office,ratings
1777,tt0227153,Nureta koya o hashire,23 Jun 1973,1973,73,"['Action', 'Crime']",,['Japan'],"['Yuri Yamashina', ' Takeo Chii', ' Maki Kawamura', ' Akira Hisamatsu']",['Yukihiro Sawada'],['Kazuhiko Hasegawa'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
1778,tt0227197,Sister Street Fighter: Fifth Level Fist,29 May 1976,1976,77,"['Action', 'Crime']",Not Rated,['Japan'],"['Etsuko Shihomi', ' Mitchi Love', ' Ken Wallace', ' Masafumi Suzuki']",['Shigehiro Ozawa'],"['Isao Matsumoto (screenplay)', ' Motohiro Torii (screenplay)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]"
1779,tt0227236,El payo - un hombre contra el mundo!,28 Dec 1972,1972,95,"['Action', 'Drama', 'Fantasy']",,['Mexico'],"['Jorge Rivero', ' Helena Rojo', ' Nadia Milton', ' Narciso Busquets']",['Emilio Gómez Muriel'],"['William S. Vigil (story)', ' Juan Andrés Bueno (screenplay)', ' Fausto Buendía (drawings)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]"
1780,tt0227521,Son premier été,13 Oct 1976,1976,79,"['Action', 'Crime']",,"['France', ' Belgium']","['Trilla Jorgensen', ' Claude Huart', ' Nady Laure', ' Marcel Portier']",['João Correa'],"['João Correa (screenplay)', ' Charles-Laurent Gondanoff (screenplay)']",,,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]"
1781,tt0227991,Acapulco 12-22,24 Apr 1975,1975,90,"['Action', 'Crime', 'Drama']",PG,['Mexico'],"['Jorge Rivero', ' Alfredo Leal', ' Verónica Castro', ' Patricia Aspíllaga']",['Aldo Monti'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]"
1782,tt0228012,Violent Fraternity,01 Nov 1974,1974,94,"['Action', 'Crime', 'Drama']",,['Japan'],"['Noboru Andô', ' Tatsuo Umemiya', ' Bunta Sugawara', ' Kyôko Okada']",['Sadao Nakajima'],['Noboru Andô (fictionalized memoirs)'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]"
1783,tt0228156,Cop Killers,,1977,93,"['Action', 'Drama']",R,['USA'],"['Jason Williams', ' Bill Osco', ' Diane Keller', ' Michael D. White']",['Walter R. Cichy'],"['Walter R. Cichy (screenplay)', ' Howard Ziehm (story)', ' Walter R. Cichy (story)', ' Bill Osco (story)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]"
1784,tt0228486,King Kung Fu,15 Oct 2016,1976,95,"['Action', 'Comedy']",G,['USA'],"['John Ballee', ' Billy Schwartz', ' Lois Ayres', ' Allan Baker']",['Lance D. Hayes'],['Lance D. Hayes'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]"
1785,tt0229062,Yakuza zesshô,11 Jul 1970,1970,92,"['Action', 'Crime']",,['Japan'],"['Shintarô Katsu', ' Naoko Ôtani', ' Masakazu Tamura', ' Yûsuke Kawazu']",['Yasuzô Masumura'],"['Ichirô Ikeda', ' Jûgo Kuroiwa (novel)']",,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]"
1786,tt0229204,Aiyoku no wana,15 Dec 1973,1973,73,"['Action', 'Crime']",,['Japan'],"['Moeko Ezawa', ' Nozomi Yasuda', ' Rie Nakagawa', ' Michio Akiyama']",['Atsushi Yamatoya'],['Yôzô Tanaka (screenplay)'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]"
1787,tt0230383,Jump,01 Jan 1971,1971,97,"['Action', 'Drama']",GP,['USA'],"['Tom Ligon', ' Logan Ramsey', ' Collin Wilcox Paxton', ' Norman Rose']",['Joseph Manduke'],['Richard Wheelwright'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]"
